"round","pick","overall","franchise_id","franchise_name","user_nickname","player_id","player_name","pos","team","bid_amount","nominating_team_id","is_keeper","can_keeper","autodraft_type","complete_date","in_progress","pick_id","drafted","lineupSlotId","memberId","tradeLocked"
1,1,1,4,"Royal T","tew 13",4242335,"Jonathan Taylor","RB","IND",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,1,true,2,"{78B0622F-7A59-4B0F-8176-D0732BD5502D}",false
1,2,2,5,"96' Dream  Team","espn97499985",3117251,"Christian McCaffrey","RB","SFO",0,0,false,false,3,2022-08-31 23:43:04.820000Z,false,2,true,2,,false
1,3,3,3,"Team Allie","ESPNfan6002754219",2977187,"Cooper Kupp","WR","LAR",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,3,true,4,"{B0E72853-9163-4AA3-8F68-7963506777AF}",false
1,4,4,8,"Run DKC","1Andrew49er1",3068267,"Austin Ekeler","RB","LAC",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,4,true,2,"{41913F6A-5AEA-48D4-913F-6A5AEA58D4F3}",false
1,5,5,1,"White Stoners ","21sam05",4262921,"Justin Jefferson","WR","MIN",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,5,true,4,"{0856CF9A-1407-4985-96CF-9A1407E9853F}",false
1,6,6,6,"Its all Ball Bearings","Dylan Detwiler",4362628,"Ja'Marr Chase","WR","CIN",0,0,false,false,3,2022-08-31 23:43:04.820000Z,false,6,true,4,,false
1,7,7,2,"Remember The Titans","pjennings0",3043078,"Derrick Henry","RB","TEN",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,7,true,2,"{29547B8C-F75D-42CA-8E43-7EC66D1F810D}",false
1,8,8,7,"Buckets DeVos","ESPNFAN2989215412",3116593,"Dalvin Cook","RB","MIN",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,8,true,2,"{AD786CAD-DF03-4D42-8606-040337B4D9B2}",false
2,1,9,7,"Buckets DeVos","ESPNFAN2989215412",16800,"Davante Adams","WR","OAK",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,9,true,4,"{AD786CAD-DF03-4D42-8606-040337B4D9B2}",false
2,2,10,2,"Remember The Titans","pjennings0",3054850,"Alvin Kamara","RB","NOS",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,10,true,2,"{29547B8C-F75D-42CA-8E43-7EC66D1F810D}",false
2,3,11,6,"Its all Ball Bearings","Dylan Detwiler",4241457,"Najee Harris","RB","PIT",0,0,false,false,3,2022-08-31 23:43:04.820000Z,false,11,true,2,,false
2,4,12,1,"White Stoners ","21sam05",3116385,"Joe Mixon","RB","CIN",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,12,true,2,"{0856CF9A-1407-4985-96CF-9A1407E9853F}",false
2,5,13,8,"Run DKC","1Andrew49er1",4259545,"D'Andre Swift","RB","DET",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,13,true,2,"{41913F6A-5AEA-48D4-913F-6A5AEA58D4F3}",false
2,6,14,3,"Team Allie","ESPNfan6002754219",2976212,"Stefon Diggs","WR","BUF",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,14,true,4,"{B0E72853-9163-4AA3-8F68-7963506777AF}",false
2,7,15,5,"96' Dream  Team","espn97499985",3126486,"Deebo Samuel","WR","SFO",0,0,false,false,3,2022-08-31 23:43:04.820000Z,false,15,true,4,,false
2,8,16,4,"Royal T","tew 13",3918298,"Josh Allen","QB","BUF",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,16,true,0,"{78B0622F-7A59-4B0F-8176-D0732BD5502D}",false
3,1,17,4,"Royal T","tew 13",4241389,"CeeDee Lamb","WR","DAL",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,17,true,4,"{78B0622F-7A59-4B0F-8176-D0732BD5502D}",false
3,2,18,5,"96' Dream  Team","espn97499985",3116406,"Tyreek Hill","WR","MIA",0,0,false,false,3,2022-08-31 23:43:04.820000Z,false,18,true,4,,false
3,3,19,3,"Team Allie","ESPNfan6002754219",4038941,"Justin Herbert","QB","LAC",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,19,true,0,"{B0E72853-9163-4AA3-8F68-7963506777AF}",false
3,4,20,8,"Run DKC","1Andrew49er1",3116365,"Mark Andrews","TE","BAL",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,20,true,6,"{41913F6A-5AEA-48D4-913F-6A5AEA58D4F3}",false
3,5,21,1,"White Stoners ","21sam05",4361579,"Javonte Williams","RB","DEN",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,21,true,2,"{0856CF9A-1407-4985-96CF-9A1407E9853F}",false
3,6,22,6,"Its all Ball Bearings","Dylan Detwiler",3115364,"Leonard Fournette","RB","TBB",0,0,false,false,3,2022-08-31 23:43:04.820000Z,false,22,true,2,,false
3,7,23,2,"Remember The Titans","pjennings0",15847,"Travis Kelce","TE","KCC",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,23,true,6,"{29547B8C-F75D-42CA-8E43-7EC66D1F810D}",false
3,8,24,7,"Buckets DeVos","ESPNFAN2989215412",3042519,"Aaron Jones","RB","GBP",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,24,true,2,"{AD786CAD-DF03-4D42-8606-040337B4D9B2}",false
4,1,25,7,"Buckets DeVos","ESPNFAN2989215412",3045147,"James Conner","RB","ARI",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,25,true,23,"{AD786CAD-DF03-4D42-8606-040337B4D9B2}",false
4,2,26,2,"Remember The Titans","pjennings0",15818,"Keenan Allen","WR","LAC",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,26,true,4,"{29547B8C-F75D-42CA-8E43-7EC66D1F810D}",false
4,3,27,6,"Its all Ball Bearings","Dylan Detwiler",4239993,"Tee Higgins","WR","CIN",0,0,false,false,3,2022-08-31 23:43:04.820000Z,false,27,true,4,,false
4,4,28,1,"White Stoners ","21sam05",3929630,"Saquon Barkley","RB","NYG",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,28,true,23,"{0856CF9A-1407-4985-96CF-9A1407E9853F}",false
4,5,29,8,"Run DKC","1Andrew49er1",16737,"Mike Evans","WR","TBB",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,29,true,4,"{41913F6A-5AEA-48D4-913F-6A5AEA58D4F3}",false
4,6,30,3,"Team Allie","ESPNfan6002754219",4240021,"Cam Akers","RB","LAR",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,30,true,2,"{B0E72853-9163-4AA3-8F68-7963506777AF}",false
4,7,31,5,"96' Dream  Team","espn97499985",3915416,"DJ Moore","WR","CAR",0,0,false,false,3,2022-08-31 23:43:04.820000Z,false,31,true,23,,false
4,8,32,4,"Royal T","tew 13",3128720,"Nick Chubb","RB","CLE",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,32,true,2,"{78B0622F-7A59-4B0F-8176-D0732BD5502D}",false
5,1,33,4,"Royal T","tew 13",4035687,"Michael Pittman Jr.","WR","IND",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,33,true,4,"{78B0622F-7A59-4B0F-8176-D0732BD5502D}",false
5,2,34,5,"96' Dream  Team","espn97499985",4360248,"Kyle Pitts","TE","ATL",0,0,false,false,3,2022-08-31 23:43:04.820000Z,false,34,true,6,,false
5,3,35,3,"Team Allie","ESPNfan6002754219",4035538,"David Montgomery","RB","CHI",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,35,true,2,"{B0E72853-9163-4AA3-8F68-7963506777AF}",false
5,4,36,8,"Run DKC","1Andrew49er1",4047646,"A.J. Brown","WR","PHI",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,36,true,4,"{41913F6A-5AEA-48D4-913F-6A5AEA58D4F3}",false
5,5,37,1,"White Stoners ","21sam05",3932905,"Diontae Johnson","WR","PIT",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,37,true,4,"{0856CF9A-1407-4985-96CF-9A1407E9853F}",false
5,6,38,6,"Its all Ball Bearings","Dylan Detwiler",3121422,"Terry McLaurin","WR","WAS",0,0,false,false,3,2022-08-31 23:43:04.820000Z,false,38,true,23,,false
5,7,39,2,"Remember The Titans","pjennings0",4372016,"Jaylen Waddle","WR","MIA",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,39,true,4,"{29547B8C-F75D-42CA-8E43-7EC66D1F810D}",false
5,8,40,7,"Buckets DeVos","ESPNFAN2989215412",3045138,"Mike Williams","WR","LAC",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,40,true,4,"{AD786CAD-DF03-4D42-8606-040337B4D9B2}",false
6,1,41,7,"Buckets DeVos","ESPNFAN2989215412",3139477,"Patrick Mahomes","QB","KCC",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,41,true,0,"{AD786CAD-DF03-4D42-8606-040337B4D9B2}",false
6,2,42,2,"Remember The Titans","pjennings0",4241372,"Marquise Brown","WR","ARI",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,42,true,23,"{29547B8C-F75D-42CA-8E43-7EC66D1F810D}",false
6,3,43,6,"Its all Ball Bearings","Dylan Detwiler",16731,"Brandin Cooks","WR","HOU",0,0,false,false,3,2022-08-31 23:43:04.820000Z,false,43,true,20,,false
6,4,44,1,"White Stoners ","21sam05",4374302,"Amon-Ra St. Brown","WR","DET",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,44,true,20,"{0856CF9A-1407-4985-96CF-9A1407E9853F}",false
6,5,45,8,"Run DKC","1Andrew49er1",3917315,"Kyler Murray","QB","ARI",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,45,true,0,"{41913F6A-5AEA-48D4-913F-6A5AEA58D4F3}",false
6,6,46,3,"Team Allie","ESPNfan6002754219",2576925,"Darren Waller","TE","OAK",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,46,true,6,"{B0E72853-9163-4AA3-8F68-7963506777AF}",false
6,7,47,5,"96' Dream  Team","espn97499985",4427366,"Breece Hall","RB","NYJ",0,0,false,false,3,2022-08-31 23:43:04.820000Z,false,47,true,2,,false
6,8,48,4,"Royal T","tew 13",3040151,"George Kittle","TE","SFO",0,0,false,false,0,2022-08-31 23:43:04.820000Z,false,48,true,6,"{78B0622F-7A59-4B0F-8176-D0732BD5502D}",false
